center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h30m27.5s,+10d08m36.0s,12h31m48.3s,+09d59m49.0s,4,0,,0,0.0,none
12h30m51.9s,+10d08m36.0s,12h32m12.6s,+09d59m49.2s,4,0,,0,0.0,none
12h29m46.9s,+13d14m36.0s,12h31m07.4s,+13d05m48.8s,4,0,,0,0.0,none
12h30m11.5s,+13d14m36.0s,12h31m32.0s,+13d05m49.0s,4,0,,0,0.0,none
12h30m36.2s,+13d14m36.0s,12h31m56.7s,+13d05m49.1s,3,0,,0,0.0,none
12h31m00.8s,+13d14m36.0s,12h32m21.3s,+13d05m49.2s,0,0,,0,0.0,none
12h31m25.5s,+13d14m36.0s,12h32m45.9s,+13d05m49.3s,1,0,,0,0.0,none
12h31m50.1s,+13d14m36.0s,12h33m10.6s,+13d05m49.5s,2,0,,0,0.0,none
12h32m14.8s,+13d14m36.0s,12h33m35.2s,+13d05m49.6s,2,0,,0,0.0,none
12h32m39.5s,+13d14m36.0s,12h33m59.9s,+13d05m49.8s,1,0,,0,0.0,none
12h33m04.1s,+13d14m36.0s,12h34m24.5s,+13d05m49.9s,2,0,,0,0.0,none
12h33m28.8s,+13d14m36.0s,12h34m49.1s,+13d05m50.0s,4,0,,0,0.0,none
12h33m53.4s,+13d14m36.0s,12h35m13.8s,+13d05m50.2s,5,0,,0,0.0,none
12h34m18.1s,+13d14m36.0s,12h35m38.4s,+13d05m50.3s,3,0,,0,0.0,none
12h34m42.7s,+13d14m36.0s,12h36m03.1s,+13d05m50.5s,1,0,,0,0.0,none
12h35m07.4s,+13d14m36.0s,12h36m27.7s,+13d05m50.6s,0,0,,0,0.0,none
12h35m32.0s,+13d14m36.0s,12h36m52.3s,+13d05m50.8s,1,0,,0,0.0,none
12h35m56.7s,+13d14m36.0s,12h37m17.0s,+13d05m50.9s,1,0,,0,0.0,none
12h31m16.3s,+10d08m36.0s,12h32m37.0s,+09d59m49.3s,4,0,,0,0.0,none
12h31m40.7s,+10d08m36.0s,12h33m01.4s,+09d59m49.4s,2,0,,0,0.0,none
12h32m05.0s,+10d08m36.0s,12h33m25.8s,+09d59m49.6s,1,0,,0,0.0,none
12h18m16.5s,+13d20m36.0s,12h19m37.4s,+13d11m46.0s,2,0,,0,0.0,none
12h18m41.2s,+13d20m36.0s,12h20m02.1s,+13d11m46.0s,5,0,,0,0.0,none
12h19m05.8s,+13d20m36.0s,12h20m26.7s,+13d11m46.1s,5,0,,0,0.0,none
12h19m30.5s,+13d20m36.0s,12h20m51.4s,+13d11m46.2s,4,0,,0,0.0,none
12h19m55.2s,+13d20m36.0s,12h21m16.0s,+13d11m46.3s,1,0,,0,0.0,none
12h20m19.8s,+13d20m36.0s,12h21m40.7s,+13d11m46.4s,1,0,,0,0.0,none
12h20m44.5s,+13d20m36.0s,12h22m05.3s,+13d11m46.5s,2,0,,0,0.0,none
12h21m09.2s,+13d20m36.0s,12h22m30.0s,+13d11m46.5s,2,0,,0,0.0,none
12h21m33.8s,+13d20m36.0s,12h22m54.6s,+13d11m46.6s,1,0,,0,0.0,none
12h21m58.5s,+13d20m36.0s,12h23m19.3s,+13d11m46.7s,0,0,,0,0.0,none
12h22m23.2s,+13d20m36.0s,12h23m43.9s,+13d11m46.8s,0,0,,0,0.0,none
12h22m47.8s,+13d20m36.0s,12h24m08.6s,+13d11m46.9s,1,0,,0,0.0,none
12h23m12.5s,+13d20m36.0s,12h24m33.2s,+13d11m47.0s,1,0,,0,0.0,none
12h23m37.2s,+13d20m36.0s,12h24m57.9s,+13d11m47.1s,2,0,,0,0.0,none
