center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
13h58m09.2s,-19d30m00.0s,13h59m37.1s,-19d37m41.9s,34,0,,0,0.0,none
13h56m01.9s,-19d30m00.0s,13h57m29.7s,-19d37m44.3s,46,0,,0,0.0,none
13h53m54.6s,-19d30m00.0s,13h55m22.3s,-19d37m46.7s,45,0,,0,0.0,none
13h51m47.3s,-19d30m00.0s,13h53m14.9s,-19d37m49.0s,43,0,,0,0.0,none
13h49m40.0s,-19d30m00.0s,13h51m07.5s,-19d37m51.3s,39,0,,0,0.0,none
13h47m32.7s,-19d30m00.0s,13h49m00.1s,-19d37m53.6s,28,0,,0,0.0,none
13h45m25.4s,-19d30m00.0s,13h46m52.7s,-19d37m55.8s,36,0,,0,0.0,none
13h43m18.1s,-19d30m00.0s,13h44m45.2s,-19d37m58.0s,44,0,,0,0.0,none
13h41m10.8s,-19d30m00.0s,13h42m37.8s,-19d38m00.1s,38,0,,0,0.0,none
14h30m03.6s,+01d30m00.0s,14h31m24.6s,+01d22m59.1s,39,0,,0,0.0,none
12h00m00.9s,+02d00m00.0s,12h01m22.5s,+01d51m08.1s,25,0,,0,0.0,none
11h58m00.8s,+02d00m00.0s,11h59m22.4s,+01d51m08.1s,15,0,,0,0.0,none
11h56m00.7s,+02d00m00.0s,11h57m22.4s,+01d51m08.2s,17,0,,0,0.0,none
11h54m00.7s,+02d00m00.0s,11h55m22.3s,+01d51m08.3s,17,0,,0,0.0,none
11h52m00.6s,+02d00m00.0s,11h53m22.2s,+01d51m08.4s,17,0,,0,0.0,none
11h50m00.5s,+02d00m00.0s,11h51m22.2s,+01d51m08.6s,26,0,,0,0.0,none
11h48m00.4s,+02d00m00.0s,11h49m22.1s,+01d51m08.8s,26,0,,0,0.0,none
11h46m00.4s,+02d00m00.0s,11h47m22.0s,+01d51m09.0s,23,0,,0,0.0,none
11h44m00.3s,+02d00m00.0s,11h45m22.0s,+01d51m09.3s,25,0,,0,0.0,none
11h42m00.2s,+02d00m00.0s,11h43m21.9s,+01d51m09.7s,26,0,,0,0.0,none
11h40m00.1s,+02d00m00.0s,11h41m21.9s,+01d51m10.0s,27,0,,0,0.0,none
11h38m00.1s,+02d00m00.0s,11h39m21.8s,+01d51m10.4s,18,0,,0,0.0,none
13h08m01.3s,-17d00m00.0s,13h09m26.1s,-17d08m28.1s,27,0,,0,0.0,none
12h32m02.0s,+02d00m00.0s,12h33m23.5s,+01d51m13.5s,21,0,,0,0.0,none
12h30m02.0s,+02d00m00.0s,12h31m23.4s,+01d51m12.9s,23,0,,0,0.0,none
13h05m55.8s,-17d00m00.0s,13h07m20.5s,-17d08m29.5s,27,0,,0,0.0,none
12h59m39.3s,-17d00m00.0s,13h01m03.8s,-17d08m33.5s,38,0,,0,0.0,none
12h24m01.8s,+02d00m00.0s,12h25m23.2s,+01d51m11.2s,23,0,,0,0.0,none
12h22m01.7s,+02d00m00.0s,12h23m23.2s,+01d51m10.7s,18,0,,0,0.0,none
12h20m01.6s,+02d00m00.0s,12h21m23.1s,+01d51m10.3s,15,0,,0,0.0,none
12h18m01.5s,+02d00m00.0s,12h19m23.0s,+01d51m09.9s,21,0,,0,0.0,none
12h16m01.5s,+02d00m00.0s,12h17m23.0s,+01d51m09.5s,24,0,,0,0.0,none
12h14m01.4s,+02d00m00.0s,12h15m22.9s,+01d51m09.2s,21,0,,0,0.0,none
12h12m01.3s,+02d00m00.0s,12h13m22.9s,+01d51m09.0s,19,0,,0,0.0,none
12h10m01.2s,+02d00m00.0s,12h11m22.8s,+01d51m08.7s,22,0,,0,0.0,none
12h08m01.2s,+02d00m00.0s,12h09m22.7s,+01d51m08.5s,23,0,,0,0.0,none
12h57m33.8s,-17d00m00.0s,12h58m58.2s,-17d08m34.8s,27,0,,0,0.0,none
13h04m03.2s,+02d00m00.0s,13h05m24.5s,+01d51m29.2s,21,0,,0,0.0,none
13h02m03.1s,+02d00m00.0s,13h03m24.4s,+01d51m27.9s,18,0,,0,0.0,none
13h00m03.1s,+02d00m00.0s,13h01m24.4s,+01d51m26.7s,23,0,,0,0.0,none
14h21m40.1s,-17d30m00.0s,14h23m08.2s,-17d37m12.4s,18,0,,0,0.0,none
14h19m34.2s,-17d30m00.0s,14h21m02.3s,-17d37m15.3s,37,0,,0,0.0,none
14h17m28.4s,-17d30m00.0s,14h18m56.4s,-17d37m18.0s,43,0,,0,0.0,none
14h15m22.6s,-17d30m00.0s,14h16m50.5s,-17d37m20.8s,45,0,,0,0.0,none
12h50m02.7s,+02d00m00.0s,12h51m24.1s,+01d51m21.1s,18,0,,0,0.0,none
12h48m02.6s,+02d00m00.0s,12h49m24.0s,+01d51m20.1s,22,0,,0,0.0,none
12h46m02.6s,+02d00m00.0s,12h47m23.9s,+01d51m19.2s,23,0,,0,0.0,none
14h13m16.8s,-17d30m00.0s,14h14m44.6s,-17d37m23.5s,44,0,,0,0.0,none
14h11m10.9s,-17d30m00.0s,14h12m38.7s,-17d37m26.2s,43,0,,0,0.0,none
12h40m02.3s,+02d00m00.0s,12h41m23.7s,+01d51m16.5s,22,0,,0,0.0,none
12h38m02.3s,+02d00m00.0s,12h39m23.7s,+01d51m15.7s,21,0,,0,0.0,none
